Tiempo_s,Temperatura_C
1760,38.7
1770,38.6
1780,38.5
1790,38.5
1800,38.4
1810,38.2
1820,38.1
1830,38
1840,37.9
1850,37.9
1860,37.8
1870,37.5
1880,37.6
1890,37.4
1900,37.3
1910,37.1
1920,37.1
1930,37
1940,37
1950,36.9
1960,36.5
1970,36.5
1980,36.5
1990,36.5
2000,36.5
2010,36.5
2020,36.6
2030,36.6
2040,36.6
2050,36.5
2060,36.5
2070,36.5
2080,36.5
2090,36.5
2100,36.5
2110,36.4
2120,36.5
2130,36.3
2140,36.2
2150,36.2
2160,36.1
2170,36.1
2180,36
2190,36
2200,36
2210,36
2220,35.9
2230,35.9
2240,35.8
2250,35.8
2260,35.7
2270,35.6
2280,35.6
2290,35.5
2300,35.5
2310,35.4
2320,35.3
2330,35.1
2340,35.1
2350,35
2360,35
2370,35
2380,35
2390,35
2400,35
2410,34.9
2420,34.9
2430,34.9
2440,34.9
2450,34.8
2460,34.8
2470,34.7
2480,34.7
2490,34.6
2500,34.6
2510,34.6
2520,34.5
2530,34.5
2540,34.4
2550,34.4
2560,34.1
2570,34.1
2580,34.1
2590,34.1
2600,34
2610,34
2620,34
2630,33.9
2640,33.9
2650,33.9
2660,33.8
2670,33.8
2680,33.8
2690,33.6
2700,33.6
2710,33.6
2720,33.6
2730,33.5
2740,33.5
2750,33.4
2760,33.2
2770,33.2
2780,33.2
2790,33.1
2800,33.1
2810,33.1
2820,33
2830,33
2840,32.9
2850,32.9
2860,32.9
2870,32.8
2880,32.8
2890,32.8
2900,32.7
2910,32.7
2920,32.5
2930,32.5
2940,32.5
2950,32.5
2960,32.4
2970,32.4
2980,32.4
2990,32.3
3000,32.2
3010,32.2
3020,32.1
3030,32.1
3040,32.1
3050,32.1
3060,32
3070,32
3080,32
3090,31.9
3100,31.9
3110,31.9
3120,31.9
3130,31.8
3140,31.8
3150,31.7
3160,31.7
3170,31.7
3180,31.6
3190,31.6
3200,31.6
3210,31.5
3220,31.5
3230,31.5
3240,31.4
3250,31.3
3260,31.2
3270,31.2
3280,31.2
3290,31.1
3300,31
3310,31
3320,31
3330,31
3340,31
3350,30.9
3360,30.9
3370,30.8
3380,30.8
3390,30.7
3400,30.7
3410,30.7
3420,30.6
3430,30.6
3440,30.5
3450,30.5
3460,30.5
3470,30.5
3480,30.5
3490,30.4
3500,30.4
3510,30.4
3520,30.3
3530,30.3
3540,30.2
3550,30.2
3560,30.2
3570,30.1
3580,30.1
3590,30.1
3600,30.1
3610,30.1
3620,30.1
3630,30
3640,30
3650,30
3660,30
3670,30
3680,30
3690,30
3700,29.9
3710,29.9
3720,29.9
3730,29.9
3740,29.9
3750,29.9
3760,29.8
3770,29.8
3780,29.9
3790,29.9
3800,29.9
3810,29.9
3820,29.8
3830,29.8
3840,29.8
3850,29.7
3860,29.7
3870,29.7
3880,29.6
3890,29.6
3900,29.6
3910,29.6
3920,29.6
3930,29.5
3940,29.5
3950,29.4
3960,29.3
3970,29.3
3980,29.3
3990,29.3
4000,29.2
4010,29.1
4020,29.1
4030,29
4040,29
4050,29
4060,28.9
4070,28.9
4080,28.9
4090,28.8
4100,28.8
4110,28.8
4120,28.8
4130,28.8
4140,28.8
4150,28.7
4160,28.7
4170,28.7
4180,28.6
4190,28.6
4200,28.6
4210,28.6
4220,28.5
4230,28.6
4240,28.6
4250,28.5
4260,28.5
4270,28.5
4280,28.4
4290,28.4
4300,28.4
4310,28.3
4320,28.2
4330,28.2
4340,28.2
4350,28.1
4360,28.1
4370,28.1
4380,28.1
4390,28.1
4400,28.1
4410,28.1
4420,28
